Шестигранная гайка DIN 934 оцинкованная М8, 100шт - коробка Tech-Krep 105248;188
Оцинкованная штанга с резьбой М8х2м DIN975 Tech-Krep 100548;152
Шестигранная гайка DIN 934 оцинкованная М16, 4шт - пакет Tech-Krep 112249;56
Кузовная оцинкованная шайба DIN9021 М8 100шт - коробка Tech-Krep 105266;210
Оцинкованная штанга с резьбой М20х1м DIN975 Tech-Krep 103621;545
Шестигранная гайка DIN 934 оцинкованная М10, 50шт - коробка Tech-Krep 105249;198
Оцинкованная штанга с резьбой М10х2м DIN975 Tech-Krep 100550;204
Винт Tech-Krep DIN7985 с полукруглой головкой, оцинкованный М3х8 20 шт - пакет 103007;16
Шестигранная гайка DIN 934 оцинкованная М6, 40шт - пакет Tech-Krep 103025;47
Соединительная гайка с фланцем Tech-Krep DIN6923 оцинкованная М8 35 шт - пакет 141609;117
Шайба Рондоль 50, 60мм, 50шт - пакет Tech-Krep 112969;111
Шестигранная гайка DIN 934 оцинкованная М12, 30шт - коробка Tech-Krep 105250;170
Оцинкованная штанга с резьбой М8х1м DIN975 Tech-Krep 100768;75
Болт DIN 933 с шестигранной головкой, оцинкованный М8х30, 30шт - коробка Tech-Krep 105209;188
Плоская оцинкованная шайба Tech-Krep DIN125а М16 6шт - пакет 112260;33
;36
Кузовная оцинкованная шайба DIN9021 М6 200шт - коробка Tech-Krep 105265;213
Термошайба для поликарбоната Tech-Krep прозрачная 25 штук - пакет 138713;286
Мебельная забивная гайка Tech-Krep оцинкованная М8 6 шт - пакет 108940;29
Соединительная гайка Tech-Krep DIN6334 оцинкованная М10 2 шт - пакет 112279;53
Пружинная оцинкованная шайба DIN127b М8 25шт - пакет Tech-Krep 103049;26
Болт DIN 933 с шестигранной головкой, оцинкованный М6х30, 60шт - коробка Tech-Krep 105203;176
Мебельная забивная гайка Tech-Krep оцинкованная М6 10 шт - пакет 108939;42
Болт DIN 933 с шестигранной головкой, оцинкованный М16х70, 12шт - коробка Tech-Krep 126536;319
Плоская оцинкованная шайба DIN125а М8 200шт - коробка Tech-Krep 105260;165
Болт DIN 933 с шестигранной головкой, оцинкованный М8х100, 20шт - коробка Tech-Krep 126505;263
Шестигранная гайка DIN 934 оцинкованная М20, 4шт - пакет Tech-Krep 112251;116
Шестигранная гайка DIN 934 оцинкованная М8, 35шт - пакет Tech-Krep 103026;78
Кузовная оцинкованная шайба DIN9021 М14 8шт - пакет Tech-Krep 112256;103
Болт DIN 933 с шестигранной головкой, оцинкованный М8х20, 50шт - коробка Tech-Krep 105207;205
Шестигранная гайка DIN 934 оцинкованная М12, 10шт - пакет Tech-Krep 103028;65
Болт DIN 933 с шестигранной головкой, оцинкованный М8х40, 25шт - коробка Tech-Krep 105210;184
Пружинная оцинкованная шайба DIN127b М6 12шт - пакет Tech-Krep 103048;10
Винт Tech-Krep DIN7985 с полукруглой головкой, оцинкованный М4х12 16 шт - пакет 126567;21
Плоская оцинкованная шайба Tech-Krep DIN125а М8 25шт - пакет 103045;25
Плоская оцинкованная шайба DIN125а М12 50шт - коробка Tech-Krep 105262;129
Болт DIN 933 с шестигранной головкой, оцинкованный М10х50, 10шт - коробка Tech-Krep 105217;156
Самоконтрящаяся гайка Tech-Krep DIN985 оцинкованная М6 16 шт - пакет 103031;25
Винт Tech-Krep DIN965 с потайной головкой, оцинкованный М3х12 10 шт - пакет 102987;10
Винт Tech-Krep DIN7985 с полукруглой головкой, оцинкованный М3х20 10 шт - пакет 103008;13
Болт DIN 933 с шестигранной головкой, оцинкованный М6х40, 50шт - коробка Tech-Krep 105204;188
Кузовная оцинкованная шайба DIN9021 М12 30шт - коробка Tech-Krep 105268;217
Болт DIN 933 с шестигранной головкой, оцинкованный М16х50, 15шт - коробка Tech-Krep 126535;429
Болт DIN 933 с шестигранной головкой, оцинкованный М6х25, 70шт - коробка Tech-Krep 105202;187
Оцинкованная штанга с резьбой М6х2м DIN975 Tech-Krep 101012;96
Кузовная оцинкованная шайба DIN9021 М16 6шт - пакет Tech-Krep 112257;106
Болт DIN 933 с шестигранной головкой, оцинкованный М6х20, 80шт - коробка Tech-Krep 105201;191
Самоконтрящаяся гайка DIN 985 оцинкованная М8, 100шт - коробка Tech-Krep 105254;225
Пружинная оцинкованная шайба DIN127b М10 12шт - пакет Tech-Krep 112264;22
Винт Tech-Krep DIN965 с потайной головкой, оцинкованный М4х10 10 шт - пакет 102988;12
Плоская оцинкованная шайба DIN125а М6 300шт - коробка Tech-Krep 105259;142
Барашковая гайка Tech-Krep DIN 315 M8 12 шт - пакет 111276;62
Кузовная оцинкованная шайба DIN9021 M4 40шт - пакет Tech-Krep 103035;25
Шестигранная гайка DIN 934 оцинкованная М4, 50шт - пакет Tech-Krep 103023;30
Болт Tech-Krep DIN912 с цилиндрической головкой и внутренним шестигранником 6х30 15 шт - пакет 112271;68
Болт DIN 933 с шестигранной головкой, оцинкованный М8х60, 20шт - коробка Tech-Krep 105212;196
Плоская оцинкованная шайба Tech-Krep DIN125а М4 55шт - пакет 103042;14
Болт DIN 933 с шестигранной головкой, оцинкованный М8х25, 40шт - коробка Tech-Krep 105208;216
